HolderAddress	Balance	PendingBalanceUpdate
0x001334353b9c6831fd40bcd6a2dfa5408e9bc624	2.466096276	No
0x9fe57eb65d17177a069331e7d2746df602f538d3	2.43131158	No
0x4086f688855dcae061e7f68fc181566fffa856ea	2.398846131	No
0x534619104a9248b55a0293bf32e64ef939d8b5d0	2.364250714	No
0xcd0b67a61e5e8f4616c19e421e929813b6d947df	2.361853836	No
0xe23f9140bbd2a766867f20fc8e71b7abb17bde55	2.35669761	No
0x2892f9f13224e737a5e143d5c6aec0999e297b46	2.34378521	No
0x6ceb8165f0b5615068463e8b7c78fe034cea8120	2.331435208	No
0x8439a3b6ed9cf3771ba4b91c2812316a209ec194	2.327622753	No
0x1591560fc90459467edc2319adaa8438bc13a306	2.314979851	No
0x37d97fcfd79330ed6e1ae83eeb7398693ee733b3	2.310492329	No
0xa0188379ed555b5856fd705d180771749e0dcb01	2.308543313	No
0xe3478483a9a7ecd8cdde248ea43b48197b19e09e	2.302244475	No
0x34fd55a860f1df45bf006a81c2c3136f48254622	2.302073163	No
0x8e906ee36ada883cbcfabe53f4b33dc5db4eaaf6	2.300757056	No
0xa94b40c53432f0576e64873ce1cead1aae62fc90	2.293274489	No
0x0cac11a7d29ab8c87d8fedb9cc736146f4fe8e84	2.293117123	No
0x13b3ff6f1d996eaf36022ea2a92669e1371e46d7	2.288632427	No
0xe48dd2a322a7ebfdaa9680fd2e8cec27cbb7a765	2.28652373	No
0x82d4664e9fbc6137d2c65931e1f59c4260926a7e	2.283342978	No
0x899349b38b636dd14d665a7c6a0e0b91b9bbf8ba	2.268175284	No
0x1268e0c4fef7caed0be15dd6e74c63d8dfe0ee8b	2.266140117	No
0xdd1e694e064e107d3683c87440930116116d9ae6	2.265009315	No
0xc0c173dbacebfc300b397b1ebc17c352eb6163ad	2.258675277	No
0xcaeeac120121a33c5c232619a2616e306e329cd7	2.247643732	No
0x808a033cb39b2e1f7d44201167350b6af7b13ab4	2.243125177	No
0x6f0db3de99130766b76d01dfdb10ae7b2c5142f9	2.235863013	No
0xb922940e9d5e5fc6a3c63527c9b02c7070ba6b29	2.224031055	No
0x455fb06ddec65961fb2d850056f193b5c987b484	2.215030875	No
0x6996b45792afe0b9449e74f719e8fcd9d2e4a78f	2.212521362	No
0x75ecaacca38c3518749bd21a1f93825df2e959a3	2.205505736	No
0xd03e53428041c22195a29bdc5413ad10f728d94e	2.193162382	No
0x167a873dca0e1c69d058aa76659a699df7b5eeed	2.178254935	No
0x33ea9cd120bd15b91da747b199dc78e35f5cc0c4	2.176221914	No
0xec4358fc37956f200afdc7dcc031dee26b5f93f8	2.1628941	No
0xd8da0609e3098291fbc11de9add13039f1c768c7	2.15915212	No
0xa0dd82cf429ffbf2ee2bb59267f035f36625fd79	2.154896043	No
0x6e4817d4d3be44e7049e3633b8cb7d8ffbe5634a	2.153637851	No
0x77059a202bffa20847f924bac7c94fb386247147	2.143078755	No
0x6c92e11cc585a87eb7ec57dfd9e1f2e376acafcd	2.142329206	No
0x64178cb8054e231a355bfc5db740f0268b5ca0d2	2.131300907	No
0xa6467e4edc805c45b20ffdfc2e33af4db3828ef1	2.130690616	No
0x1a518a3e674a76324058822ca5d8688cffc5033b	2.125757365	No
0x95b07a9c7a1149727a661e554d995a8d2ad3c00e	2.115801739	No
0x89162f1c2cfd40e5124c1b13fd4468776ade92fb	2.111500487	No
0x85242a05647d9f264c6be379da69fafab76a8791	2.109470938	No
0x79bdda65c706cbda69c0ad4c8da1d3e91724f48d	2.107884001	No
0xcb15649d7b7a1eb01fb1acd14809de6cf82aa1a0	2.103837853	No
0xf5cb452bb8d0a15e9b4230c55d9cf1d75f14060b	2.100829845	No
0x94535de0ee84f36343c539285183a98784f5257c	2.1	No
0x17b4a5c2af7f298281a799a028f22c34017fb48d	2.099950206	No
0x70b1054b539c8ab3050fd70100d94f1c740915c7	2.091852744	No
0x7c803a4d7aae9b521e23acafe7ab71aeed61a41d	2.091328808	No
0xef149d3c65476fe1b306ea2eafdfc054edd5c1d5	2.090127352	No
0xde29e31a9b1032c2f511d53b46253c4d096636bc	2.088238291	No
0xf30d83bc83b8750702902e6344f423cb6e64014d	2.079087863	No
0xdaea6263c55079d298c96837cc427c5b99151629	2.078198147	No
0x064cb0bb4c8abe11935134aee670c032d6833556	2.077142748	No
0xade3d72485e569209de8b708e75b97c927c83eac	2.069639948	No
0x646e3f342e8a22c693f0ec4baf40d6f60cc8450b	2.068231797	No
0x1f28aa0bc23e042694d2f8ec9a5c34f6a70d8efb	2.067885596	No
0xbe8f240968a60f8849abbb6838849aa8e96daab4	2.067140948	No
0x07ed3e8e3ce42087e825011c316e17f0051cc983	2.061083303	No
0x71159da4e9f98f890dae2bad30295a69b1db42cc	2.060469623	No
0x16d44ed17a874f56baecaaffcf0b834d61202c68	2.059720807	No
0x1b35fcb58f5e1e2a42ff8e66ddf5646966abf08c	2.058435709	No
0xa99148aad89b91e5c37d5ba33997d2eb0b9a6161	2.05	No
0x44ebdb20908b124ae447b986b42e09c7ff65fee5	2.038543662	No
0xad6c0207e6b17cedd5233fb6a76a3dc2f24b79ab	2.03573981	No
0xb37cf0ef7cbd10c9f53f5f8d08b842fe39a55954	2.03541811	No
0x8965201466cfd7a2d412161c623472b6f6a394f8	2.034658009	No
0xd80b6d4e544c6acbb92101c8c533a2284b6c3522	2.033830941	No
0x60292ee7ac453105b4e1f9893fd2193a953838b8	2.033139951	No
0x1ff98075036ddf91c20ef54c507b22952522707b	2.030438398	No
0xe50b73711ca2a0d1e006ec40f41640e3403250b3	2.02765722	No
0x54c5acad0daaaeb27ae572fb5bf2b42b32d2d103	2.026976416	No
0x00409fc839a2ec2e6d12305423d37cd011279c09	2.024443539	No
0x77eea13a1146a77e637a0a5ec181d0bff8629ab4	2.02	No
0x95b0cb330519db2bcaf74b90c1bde3d62f673718	2.019219513	No
0x4f565b9d2c0613b04294d4f52b42b0c914f414df	2.015749362	No
0x1c2ef64b96bff2396842a7750b7504fb20d718dc	2.015699267	No
0xd1c921829db71034b077e585fa4f28850f2b5267	2.015413707	No
0x89409e490380948270f6fd470a55bb9324b88974	2.014216685	No
0x3198edb222d3e57a6c30e6acb04eefd5b6d9b870	2.013193921	No
0x281f15b13efee4bd9e49a84b0ff3047100e67be1	2.01313159	No
0x83bbe9cfcc205bb8e53cba0b51d6db9386ce58b5	2.012590261	No
0xea0d047993f2a85cfa84ac01fafc79752d2771ed	2.010608471	No
0x21bf63c0418d4f1d13f884c50498b2259b321b43	2.01	No
0xfb0808fc7df68fd267b25bec088b198423359161	2.009299715	No
0x91e3d63b94738868b1f481f4e9989e00cac76d69	2.009266129	No
0xdd55ca85e312a4f93347ab5e4a2a81e5c0ff73ca	2.009249885	No
0x095bfdbbad0c1de8f7568a78aae982aa895e3c0c	2.009072155	No
0x6ec2bdcbc5804a4fbdfa578e46918cd0040db843	2.007421353	No
0xade9e683cfa84d4c47d74de76afe8c4d7042eb2b	2.007111806	No
0x5b9550f5bc5e3b1d82297c7683a84003158465a9	2.006924079	No
0xc362756d13e9dcb2c59ddfc8dc260f100bceb9f4	2.004483188	No
0x43d891c1b4118b709f3d63e9fc47daaa92e1112e	2.003977243	No
0x9b940d018872c21d0883da07d13ca2ad6c03e5e5	2.003557094	No
0x302a6e2774a4dc6f2c7ecfbea9168abb7ccede06	2.00312553	No
0x580c73bd469e6af6a02ca1edcef345922581e7b1	2.002269366	No
0x9ae9e2bfb9179d78bbb879b4e18c068cc229eca2	2.0019954	No
0x5734d110867db331fce3c5e863ddb6a4f0201ed2	2.001437664	No
0xcb286622d343c459770d2f3e4e21c63a73a69fc4	2.00090282	No
0x5be4c062cfc37705dada5a468672af798b8f613a	2.000881613	No
0xa4898858c129f8bad8ad066dd7a4ab370f3b9408	2.000609865	No
0xac05702dd35d165557711e41c6dbfafc3f23a0a9	2.000517534	No
0x0e0a4aa4d1051f76b985633812c475bd4c8c6e23	2.000430802	No
0x0ae948ed89d4458ba1f1b342e47224f431c2978b	2	No
0x6f39c9dcf78507062e774a1b0653963786d11a7a	2	No
0x23ab9a3f7ebb35bcaf126896668394d3ec2c7262	2	No
0x94116efa725884314ec66c5682c1b6e7e001e232	2	No
0xba143a382ba18fc745707f46d98a93df866c4dbe	2	No
0xd96d96a973d920015e130701714f10804156aea7	2	No
0xbe9262c0dd8ba5117549c5940ede916416d95fec	2	No
0xc46f078e8430f66e98a29c5a8e2cc6d68a13603c	2	No
0xc50ad9a8231c16c13c970051196a195376b45c97	2	No
0x9390fff054abd127c23848d345c5fc6d8b95ec8c	2	No
0x6dfcd374c849f1237239ecac39e04134be4876a3	2	No
0xe3c63cc5bb9d6cc3a7105e640d9a3b9c19da2264	2	No
0xbe085c573afdb8ab9904e80a1cd9bb9964a68abd	1.991515486	No
0xc1672ff2720a70509c8b9a9bb6524fbdc111b9e1	1.930365984	No
0xa8cf8882e86df0f14eae3a51f3730a2131ed3aaf	1.924289369	No
0xaf5ae7cdaff6f1f457bc88f0989c0af7f583ab43	1.891630717	No
0x61bff993d2d8428b1aabe9e6107db87642680022	1.889606898	No
0xebbb06d51c6a6e40f6b9ea6fc747f783e8b48348	1.886140759	No
0xb62cf43bbddf76c919ea9b17ed0bc0bb507fa268	1.849930538	No
0x41e2ec54bd1df5bc50645d85e7564e56a3e74d35	1.83742337	No
0xef1d42285f85b93b086efb8024454e530618c112	1.830874383	No
0x7878100f3973979fef5c5eafc8e6d292203eaffa	1.809419788	No
0x4546eb518b4a603f60165fa15f41fef6e5ab4923	1.803920901	No
0xa1bf0b4db89c0de39d01d82df30946bbb777497a	1.799271772	No
0x7d203b9b0906cbbdae7cf83159ac42ac33afe00a	1.795592635	No
0xa8518a2ccdfe353844f2fb553b90d8e8a740b347	1.790564339	No
0x6898428535a3deeb400b2278de7412bec7f49af9	1.790342134	No
0x76a78335fb3676c8b765f10ceb0060c7b3dda4f6	1.779436841	No
0x088af1da6d021ddc79e4fe826f0fdcd05ea0127f	1.776681617	No
0x0c7cdee7f65f2be9d3d241a8caf43fd2773e263b	1.77281647	No
0x51d2bf026fde1ce087c178d9ce3f91fdebf054e6	1.770081813	No
0xf0b8bcd1921d37bf83d71ccee40d55a13b98f3c5	1.744167194	No
0xcf8391249a0e2b8b81e342da6ce72361a3fa710b	1.730735337	No
0x47045d1ee924ad6ff890ce8b52d6c1f08ad42235	1.703969348	No
0xd97d2cf803e5261e1dc0273fae48328be2ea1242	1.700281194	No
0xb5ff26c4bd5f91472b1b516538b6b7e4084e819d	1.686729621	No
0xe445e22757fa69d9ef601c6b45e738494704c957	1.684086366	No
0x47cddfbc26da2df3b10f360b32c52a33e309023d	1.675103552	No
0x69ab899af9a25a5811679381ff1a38fd5d5a7a41	1.668687257	No
0x0f9093c9d7fad2829180a745e75a075e92c0e086	1.642135454	No
0xdb9eb51f59db1a9b8cb77be804c599252687080e	1.637447258	No
0xb0bcb2df918fd2c6ca5299d5d68d225aa1b49f5f	1.616824868	No
0x8e920b7eb37ce9bc5ac56f92f0719c66ded7caa2	1.610527827	No
0x3b55eba6479483ce906e736e1bd767aa4bd0455c	1.597440699	No
0x3462943f79dce59770faf5fd087ee0e77545dc33	1.595463329	No
0xbe14d4460f4ac2a2d17010e0544ae33ef581e2e4	1.578982829	No
0xe6b9f47da2cf4cacf93c7788675d80b35093ccb3	1.572923222	No
0x91c2a30747663ad058a045e8e29c076bdad15288	1.567149805	No
0x9e3d5edb35aa28cc0e52a5a0af93f32d4d8e446e	1.556275457	No
0xcba1b387f1a3ccd05683b54f109b9e5ebe254b80	1.554025087	No
0x97f156cd2542629d7ce897d7a8d4966233b1acc5	1.548837641	No
